669.9,18016
670.01,18234
670.12,18307
670.23,18459
670.33,18507
670.44,18555
670.55,18378
670.66,17935
670.77,18187
670.88,18282
670.99,18442
671.09,18490
671.2,18449
671.31,18331
671.42,18613
671.53,18250
671.64,18010
671.75,17927
671.86,18144
671.96,17563
672.07,17414
672.18,17963
672.29,18227
672.4,18225
672.51,18157
672.62,18251
672.72,18415
672.83,18258
672.94,18362
673.05,18357
673.16,18478
673.27,18291
673.38,18434
673.49,18471
673.59,18273
673.7,18240
673.81,18445
673.92,18505
674.03,18355
674.14,18373
674.25,18157
674.36,18642
674.46,18345
674.57,18473
674.68,18288
674.79,18219
674.9,18448
675.01,18222
675.12,18186
675.23,17832
675.33,17984
675.44,18243
675.55,18328
675.66,18354
675.77,18463
675.88,18461
675.99,18319
676.1,18469
676.21,18611
676.31,18294
676.42,18466
676.53,18202
676.64,18368
676.75,18293
676.86,18484
676.97,17918
677.08,17895
677.18,18157
677.29,18537
677.4,18166
677.51,18126
677.62,18140
677.73,18398
677.84,18456
677.95,18414
678.06,18337
678.16,18557
678.27,18266
678.38,18432
678.49,18319
678.6,18082
678.71,18099
678.82,18147
678.93,17971
679.04,18283
679.15,18630
679.25,18254
679.36,18409
679.47,18528
679.58,18356
679.69,18246
679.8,18057
679.91,18073
680.02,18156
680.13,18196
680.23,18258
680.34,18324
680.45,18087
680.56,18411
680.67,18189
680.78,18031
680.89,18298
681.0,17734
681.11,18248
681.22,18131
681.32,17903
681.43,18073
681.54,18186
681.65,18089
681.76,18314
681.87,18292
681.98,18548
682.09,18495
682.2,18107
682.31,18023
682.41,18173
682.52,18534
682.63,18214
682.74,18502
682.85,18379
682.96,18230
683.07,17888
683.18,17787
683.29,18120
683.4,18373
683.51,18351
683.61,18070
683.72,18267
683.83,18501
683.94,18165
684.05,18025
684.16,17753
684.27,17609
684.38,17487
684.49,17292
684.6,17446
684.71,17683
684.81,18002
684.92,18264
685.03,18254
685.14,18081
685.25,18144
685.36,18000
685.47,18286
685.58,18232
685.69,17955
685.8,17264
685.91,17559
686.01,17754
686.12,17994
686.23,17976
686.34,18025
686.45,17609
686.56,17892
686.67,17991
686.78,17921
686.89,16667
687.0,13026
687.11,9729
687.22,9915
687.32,10944
687.43,11300
687.54,11627
687.65,12375
687.76,12906
687.87,13064
687.98,13682
688.09,14603
688.2,15213
688.31,16155
688.42,17158
688.53,16900
688.64,16457
688.74,16071
688.85,15119
688.96,14946
689.07,15634
689.18,14694
689.29,14823
689.4,15928
689.51,14937
689.62,14546
689.73,15782
689.84,15235
689.95,14380
690.06,15807
690.16,16701
690.27,15121
690.38,14977
690.49,16750
690.6,16370
690.71,15106
690.82,15578
690.93,16782
691.04,16854
691.15,15635
691.26,15966
691.37,17049
691.48,17370
691.59,16071
691.7,15508
691.8,16525
691.91,16999
692.02,16441
692.13,16066
692.24,16784
692.35,17892
692.46,17225
692.57,16123
692.68,15832
692.79,16310
692.9,16973
693.01,17056
693.12,16299
693.23,15521
693.34,16017
693.44,16359
693.55,16155
693.66,15772
693.77,16411
693.88,17096
693.99,16467
694.1,16013
694.21,15263
694.32,14872
694.43,15222
694.54,15455
694.65,16035
694.76,16505
694.87,16944
694.98,15962
695.09,15509
695.2,16209
695.3,16473
695.41,16818
695.52,16748
695.63,16651
695.74,16743
695.85,16030
695.96,15781
696.07,16618
696.18,16769
696.29,16132
696.4,16018
696.51,16930
696.62,17663
696.73,17040
696.84,17421
696.95,17817
697.06,18131
697.17,17919
697.27,17598
697.38,17400
697.49,17618
697.6,17854
697.71,17816
697.82,17280
697.93,16899
698.04,16423
698.15,16349
698.26,16693
698.37,17413
698.48,17147
698.59,17897
698.7,17724
698.81,17194
698.92,16568
699.03,16253
699.14,16098
699.25,16271
699.36,16783
699.47,16894
699.57,16168
699.68,16171
699.79,16879
699.9,17626
700.01,17261
700.12,15996
700.23,15992
700.34,16900
700.45,17128
700.56,17125
700.67,15990
700.78,14857
700.89,15532
701.0,16478
701.11,17214
701.22,16933
701.33,16540
701.44,16431
701.55,16981
701.66,17329
701.77,16537
701.88,14882
701.99,14978
702.1,16703
702.21,17165
702.31,17329
702.42,17092
702.53,16343
702.64,15582
702.75,16405
702.86,16664
702.97,15490
703.08,15564
703.19,17013
703.3,17501
703.41,17466
703.52,17693
703.63,17665
703.74,17478
703.85,17485
703.96,16959
704.07,16025
704.18,15788
704.29,16270
704.4,17287
704.51,17556
704.62,17767
704.73,17763
704.84,17510
704.95,17655
705.06,17232
705.17,17480
705.28,17061
705.39,16920
705.5,16312
705.61,16917
705.71,17206
705.82,17321
705.93,16926
706.04,16990
706.15,17228
706.26,17271
706.37,17192
706.48,17501
706.59,17301
706.7,17491
706.81,17352
706.92,17231
707.03,17135
707.14,16927
707.25,17382
707.36,17516
707.47,17413
707.58,17406
707.69,17596
707.8,17644
707.91,17727
708.02,17530
708.13,17130
708.24,17128
708.35,17708
708.46,17659
708.57,17413
708.68,17213
708.79,16862
708.9,17268
709.01,17323
709.12,17232
709.23,17326
709.34,17162
709.45,17399
709.56,17443
709.67,17550
709.78,17600
709.89,17504
710.0,17640
710.11,17470
710.22,17567
710.33,17562
710.44,17624
710.55,17495
710.66,17715
710.77,17619
710.88,17435
710.98,17267
711.09,17612
711.2,17545
711.31,17319
711.42,17198
711.53,17146
711.64,17308
711.75,17406
711.86,17617
711.97,17600
712.08,17668
712.19,17571
712.3,17577
712.41,17335
712.52,16867
712.63,17541
712.74,17902
712.85,17797
712.96,17604
713.07,17270
713.18,16989
713.29,16825
713.4,16816
713.51,17154
713.62,17341
713.73,17598
713.84,17590
713.95,17712
714.06,17398
714.17,17554
714.28,17608
714.39,17492
714.5,17165
714.61,17308
714.72,17452
714.83,17405
714.94,16954
715.05,16019
715.16,16354
715.27,16670
715.38,16595
715.49,17147
715.6,17448
715.71,17551
715.82,17269
